ViralActivityLevel,Deaths0,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8
12.78,2490,2577,2360,2129,1737,1609,1385,1318,1262
10.3,2577,2360,2129,1737,1609,1385,1318,1262,1096
8.34,2360,2129,1737,1609,1385,1318,1262,1096,1035
8.11,2129,1737,1609,1385,1318,1262,1096,1035,840
7.02,1737,1609,1385,1318,1262,1096,1035,840,733
6.9,1609,1385,1318,1262,1096,1035,840,733,626
6.51,1385,1318,1262,1096,1035,840,733,626,560
5.88,1318,1262,1096,1035,840,733,626,560,490
4.97,1262,1096,1035,840,733,626,560,490,424
4.12,1096,1035,840,733,626,560,490,424,419
2.99,1035,840,733,626,560,490,424,419,330
2.53,840,733,626,560,490,424,419,330,332
2.44,733,626,560,490,424,419,330,332,338
2.1,626,560,490,424,419,330,332,338,319
1.84,560,490,424,419,330,332,338,319,302
1.54,490,424,419,330,332,338,319,302,353
1.39,424,419,330,332,338,319,302,353,405
1.36,419,330,332,338,319,302,353,405,390
1.4,330,332,338,319,302,353,405,390,435
1.56,332,338,319,302,353,405,390,435,457
1.69,338,319,302,353,405,390,435,457,517
1.93,319,302,353,405,390,435,457,517,511
2.19,302,353,405,390,435,457,517,511,340
